Smiles,Title
COc1ccc2nc(NCc3cn(C)nc3C)nc(N(C)CC3CCC[NH+]3C)c2c1,m_282030____21910658____22360250____21969772
COc1ccc2c(N3CCC[C@H](OC)C3)nc(NC(C)Cc3cn(C)nc3)nc2c1,m_282030____21924418____22360254____21938990
COc1ccc2nc(NC(C)Cc3c[nH]nc3)nc(NCC3C[NH+](C)CCO3)c2c1,m_282030____21931606____22360250____21959120
COc1cccc2c1cc(C[NH+](CCn1cc(C)cn1)Cc1nc(CO)ccc1)[nH]2,m_282155____26430146____26907094____26902294
COc1ccc2[nH]nc(C[NH+](CCCNc3ncccn3)Cc3cc(Br)co3)c2c1,m_282155____26899648____26903130____27167634
Cc1cn(C)nc1C[NH+](CCCNc1ncccn1)Cc1n[nH]c2cc(F)ccc12,m_282155____26899648____26903304____26431854
C#Cc1ccc(C[NH+](Cc2cc(OC)cc(C)c2)Cc2cc3cnccc3o2)cn1,m_282155____26905978____26906370____26906012
COc1ccc2[nH]nc(C[NH+](CCCNc3ccccn3)Cc3cccn3C)c2c1,m_282155____26932082____26903130____26897168
COc1ccc2[nH]nc(C[NH+](Cc3cn(CCF)nc3)CC(O)c3cccs3)c2c1,m_282155____27465430____26903130____26913264
Cc1c(C[NH+](Cc2cnc(c3cn(C)nc3)s2)C[C@@H](O)c2ccc(Cl)cc2)ocn1,m_282155____27468746____26910216____26694446
Cn1cc(c2ncc(C[NH+](Cc3cccn3C)C[C@@H](O)c3ccc(F)cc3)s2)cn1,m_282155____27470778____26897130____26910202
COC(=O)[C@@H]1C[C@H](O)CC[NH+]1C(C(=O)NCCC1CC1)c1ccc2c(c1)ccn2C,m_282490____23939890____23975036____23981088
COc1ccc(NC(=O)C(c2cn(CC3CCOC3)nc2)[NH+]2C[C@H](O)[C@@H](F)C2)cc1,m_282490____23947896____23935056____23980040
C[NH+]1CC[NH+](Cc2ccc(NC(=O)C3CCc4cn(C)nc4C3)cc2C(F)(F)F)CC1,s_11____25842380____16915936
C[NH+]1CC[NH+](Cc2ccc(NC(=O)c3cnc4[nH]c(=O)oc4c3)cc2C(F)(F)F)CC1,s_22____16762184____28465766
CC1CC(O)(C(=O)Nc2ccc3nc(c4ccc(N5CC[NH+](C)CC5)cc4)[nH]c3c2)C1,s_22____28246246____25801782
COc1ccccc1N1CCCC(NC(=O)N(C)CCC[NH+](C)Cc2ccncc2)C1,s_2708____5055378____23936614
CC(C)(C)CN1N=NN=C1C(NC1CCOCC1(C)C)C1=C(F)C=C(F)C(F)=C1F,m_281630____20792886____21625438____28417820
CCOCCN1N=NN=C1C(NC1CCOCC1(C)C)C1=C(C)N=C2C=CC=CN12,m_281630____20792886____21627804____20772944
COCC1CC(NC2CCOCC2(C)C)(C2=NN=NN2[C@@H]2CC[C@H](C(=O)OC)C2)C1,m_281630____20792886____21629870____25335432
CC[C@H](NC(C1=CC=NN1CC)C1=NN=NN1C(C)(C)CC)C(=O)N1CCOCC1,m_281630____20792888____21549954____20772906
CC[C@H](NC1(C2=NN=NN2C2CC2)CC2CCC(C1)S2(=O)=O)C(=O)N1CCOCC1,m_281630____20792888____21618300____20772826
CCC1=NC=C(C(N[C@@H](CC)C(=O)N2CCOCC2)C2=NN=NN2CCC#N)C=N1,m_281630____20792888____21619288____27246250
CC[C@H](NC(C)(CCCC(=O)OC)C1=NN=NN1C(C)(C)C)C(=O)N1CCOCC1,m_281630____20792888____21620482____20772848
C=CCN1N=NN=C1C(N[C@@H](CC)C(=O)N1CCOCC1)C1=C(C)C=C(C)C(C)=C1,m_281630____20792888____21622212____20772824
CC[C@H](NC(C1=CC=C(C2CCC2)N=C1)C1=NN=NN1CC)C(=O)N1CCOCC1,m_281630____20792888____21623130____20648542
CC[C@H](NC(C1=CSC=C1C)C1=NN=NN1CCC1(C)CC1)C(=O)N1CCOCC1,m_281630____20792888____21623682____25335392
C=C(C)CN1N=NN=C1C(N[C@@H](CC)C(=O)N1CCOCC1)C1=CN(C2CC2)C=C1,m_281630____20792888____21625086____20614582
CC[C@H](NC(C1=CNC(COC)=N1)C1=NN=NN1CC1CC1)C(=O)N1CCOCC1,m_281630____20792888____21626288____20772842
CCCN1N=NN=C1C1(N[C@@H](CC)C(=O)N2CCOCC2)CCC2(CC1)OCCO2,m_281630____20792888____21628000____20772830
CC[C@H](NC(C1=NN(C)C(C)=C1Cl)C1=NN=NN1C(C)(C)C)C(=O)N1CCOCC1,m_281630____20792888____21629122____20772848
CCCN1N=NN=C1C(CC1CCCC(C)(C)O1)N[C@@H](CC)C(=O)N1CCOCC1,m_281630____20792888____25333948____20772830
CCC(NCC1(S(C)(=O)=O)CC1)(C1=NN=NN1C1=CC=C(OC)C=C1OC)C1CC1,m_281630____20792890____21618112____20773138
CC1(C(NCC2(S(C)(=O)=O)CC2)C2=NN=NN2CCC#N)OCCC2=CC=CC=C21,m_281630____20792890____21620734____27246250
CS(=O)(=O)C1(CNC2(C3=NN=NN3CCC#N)CCN(CC3=CC=CO3)CC2)CC1,m_281630____20792890____21623206____27246250
CC1=NOC(C2CCC(NCC3(S(C)(=O)=O)CC3)(C3=NN=NN3CCCF)CC2)=N1,m_281630____20792890____21625482____25335380
CS(=O)(=O)NC1=CC=CC(C(NCC2(S(C)(=O)=O)CC2)C2=NN=NN2C2CCC2)=C1,m_281630____20792890____21628872____20772836
CC(C)C1(C)CC(NCC2(S(C)(=O)=O)CC2)(C2=NN=NN2CCN2CCOCC2)C1,m_281630____20792890____27246124____20773084
CCOC[C@H](C)NC(C)(C1=NN=NN1CC1=CC=C2C=CC=CC2=C1)C1CC=CC1,m_281630____20792894____21618008____20773170
CCOC[C@H](C)NC(C1=CC=NN1CC(F)(F)F)C1=NN=NN1C1CCCCCC1,m_281630____20792894____21618910____20772980
CCOC[C@H](C)NC(C1=CC=C2C=CN=CC2=C1)C1=NN=NN1C1=CC=C(F)C=C1,m_281630____20792894____21619518____20772974
CCOC[C@H](C)NC(C1=CC(C(F)(F)F)=CC=C1F)C1=NN=NN1C1CCCCC1,m_281630____20792894____21620538____20648564
CCOC[C@H](C)NC(C1=C(C)SC(C)=C1C1OCCO1)C1=NN=NN1CC(C)(C)C,m_281630____20792894____21621354____28417820
CCOC[C@H](C)NC1(C2=NN=NN2C2=CC=C3CCCC3=C2)CCC(C(C)C)CC1,m_281630____20792894____21622404____20773104
CCOC[C@H](C)NC(C1=NN=NN1CC1=CC=CO1)C1(C(=O)OC(C)(C)C)CCC1,m_281630____20792894____21623092____25335414
CCOC[C@H](C)NC1(C2=NN=NN2C2CC(F)(F)C2)CC(OCC2=CC=CC=C2)C1,m_281630____20792894____21623656____20772958
